Time,UTC_TIME,Open,High,Low,Close,Volume,CANDLE_TYPE
2025-12-01 05:30:00,2025-12-01 00:00:00,133.52,133.73,132.65,133.25,11120.636,Bearish
2025-12-01 05:35:00,2025-12-01 00:05:00,133.25,133.29,130.83,131.5,59556.95,Bearish
2025-12-01 05:40:00,2025-12-01 00:10:00,131.5,132.0,130.7,130.94,33682.644,Bearish
2025-12-01 05:45:00,2025-12-01 00:15:00,130.94,131.39,130.42,130.49,22232.64,Bearish
2025-12-01 05:50:00,2025-12-01 00:20:00,130.49,130.79,129.44,130.22,21464.781,Bearish
2025-12-01 05:55:00,2025-12-01 00:25:00,130.22,130.72,129.84,129.95,11502.966,Bearish
2025-12-01 06:00:00,2025-12-01 00:30:00,129.95,130.29,128.89,129.42,24140.162,Bearish
2025-12-01 06:05:00,2025-12-01 00:35:00,129.42,129.67,128.65,129.08,14689.12,Bearish
2025-12-01 06:10:00,2025-12-01 00:40:00,129.08,129.72,128.68,128.68,17635.224,Bearish
2025-12-01 06:15:00,2025-12-01 00:45:00,128.68,128.9,128.21,128.67,16212.436,Bearish
2025-12-01 06:20:00,2025-12-01 00:50:00,128.67,128.72,127.73,127.84,19662.918,Bearish
2025-12-01 06:25:00,2025-12-01 00:55:00,127.84,128.35,127.53,127.56,11104.715,Bearish
2025-12-01 06:30:00,2025-12-01 01:00:00,127.56,128.69,127.49,128.44,11794.273,Bullish
2025-12-01 06:35:00,2025-12-01 01:05:00,128.44,129.32,128.39,128.67,11896.793,Bullish
2025-12-01 06:40:00,2025-12-01 01:10:00,128.67,128.86,128.23,128.41,8194.791,Bearish
2025-12-01 06:45:00,2025-12-01 01:15:00,128.41,128.98,128.35,128.58,8325.356,Bullish
2025-12-01 06:50:00,2025-12-01 01:20:00,128.58,128.89,128.25,128.26,5406.758,Bearish
2025-12-01 06:55:00,2025-12-01 01:25:00,128.26,128.51,128.05,128.13,5298.675,Bearish
2025-12-01 07:00:00,2025-12-01 01:30:00,128.13,128.49,128.0,128.13,7896.894,Bearish
2025-12-01 07:05:00,2025-12-01 01:35:00,128.13,128.75,128.1,128.19,3968.477,Bullish
2025-12-01 07:10:00,2025-12-01 01:40:00,128.19,128.5,128.03,128.28,3611.397,Bullish
2025-12-01 07:15:00,2025-12-01 01:45:00,128.28,128.35,128.08,128.08,3635.378,Bearish
2025-12-01 07:20:00,2025-12-01 01:50:00,128.08,128.18,127.84,127.87,4473.351,Bearish
2025-12-01 07:25:00,2025-12-01 01:55:00,127.87,128.18,127.77,127.95,3756.24,Bullish
